"","V1","V2","V3"
"1",10.8724,1.90637,0.6335045
"2",3.43425,2.1434,4.03137
"3",6.692795,1.41054,2.45408
"4",7.952,1.61265,1.03922
"5",5.703025,1.256205,2.096265
"6",5.39743,2.308075,1.35821
"7",2.723775,1.7531,4.404555
"8",5.71804,2.181865,1.69196
"9",3.125565,2.59388,2.74514
"10",1.119165,9.760115,0.601865
"11",1.608995,8.878965,0.476547
"12",3.108165,1.913945,5.08149
"13",1.60483,1.01358,7.991165
"14",2.58839,1.341505,7.252895
"15",3.90321,2.823235,2.29623
"16",3.31023,2.73915,3.802445
"17",6.61273,2.513035,1.46706
"18",0.694584,9.71513,1.03005
"19",1.292555,5.17983,2.884755
"20",2.68332,3.90923,3.863095
"21",4.343325,1.841745,3.643785
"22",5.637575,3.15269,3.34082
"23",1.78904,5.49322,2.38121
"24",1.18422,6.385015,2.291195
"25",1.142885,1.18578,6.44193
"26",1.135365,0.977271,6.44207
"27",0.6414005,9.23306,0.862114
"28",7.36123,1.386435,1.978465
"29",2.072575,3.56185,2.256925
"30",1.473785,3.889145,3.30117
"31",2.361825,1.319555,5.610695
"32",2.021215,6.603985,1.85869
"33",2.172435,5.875135,2.66018
"34",1.891475,1.92144,5.12558
