"","V1","V2","V3"
"1",1.13492,1.23324,6.96555
"2",1.77465,2.924625,7.217545
"3",2.68319,2.302065,2.838175
"4",1.54938,3.64616,4.515685
"5",1.139465,4.921105,2.835605
"6",1.315995,0.916147,6.602665
"7",0.8699625,0.1869055,11.8811
"8",5.18463,2.08577,3.14254
"9",1.65785,1.331455,7.33094
"10",0.2282015,7.78894,2.625885
"11",0.5328405,7.12078,3.458375
"12",4.168235,2.636335,2.8028
"13",1.58369,2.65457,4.109695
"14",4.850575,0.924069,2.90659
"15",0.699796,0.580639,8.975075
"16",3.014865,1.63705,4.6775
"17",8.19846,1.331625,1.994125
"18",7.47874,0.971828,2.514095
"19",2.832165,3.415985,2.42368
"20",5.168525,2.429425,2.267225
"21",0.875357,3.3682,6.001505
"22",0.628786,1.44657,6.74654
"23",4.47153,2.913555,3.25278
"24",0.6273725,2.047215,7.03911
"25",0.648332,5.355835,3.27964
"26",0.3752125,6.28594,1.885465
"27",0.6379585,1.98832,7.626295
"28",0.7610165,4.216785,3.823535
"29",8.013875,1.750505,1.711125
"30",0.530418,6.46408,1.816125
"31",1.186055,3.947195,4.34816
"32",1.07883,4.94404,4.009735
"33",7.965185,1.400885,1.414255
"34",4.04228,3.28884,2.04888
