"","V1","V2","V3"
"1",1.154185,3.217265,5.6035
"2",0.8702365,1.89208,8.784385
"3",2.919865,5.44363,1.34591
"4",0.605203,7.33227,0.789482
"5",2.51152,5.6321,0.8552355
"6",4.57815,4.86224,1.114055
"7",7.652985,1.973125,1.02681
"8",5.62605,2.621775,0.8994495
"9",6.05136,3.65602,0.9457085
"10",1.94785,1.356845,5.468355
"11",3.32385,5.089495,1.55251
"12",10.7999,1.475245,1.21938
"13",1.51546,3.630115,4.60245
"14",5.683235,2.543675,1.40504
"15",0.48581,7.49178,0.9960605
"16",3.60666,2.589615,3.359405
"17",1.855955,4.06276,4.88534
"18",0.598391,1.790485,8.433655
"19",5.5522,3.61484,0.8567665
"20",1.341185,6.045175,1.71393
"21",2.06727,4.936545,3.555715
"22",0.865314,4.1061,4.49163
"23",1.877915,3.053695,3.019465
"24",0.827888,9.29853,0.7044055
"25",3.215775,3.627735,1.73477
"26",4.876055,5.150745,2.279775
"27",1.241905,1.530205,8.256535
"28",1.933295,2.96955,5.64304
"29",3.692285,3.297715,2.04417
"30",3.74173,5.00731,1.1786
"31",2.20157,6.45602,1.592755
"32",1.544405,8.52509,1.22972
"33",5.943445,2.613565,2.12714
"34",5.517825,2.111315,1.515325
