"","V1","V2","V3"
"1",7.401425,1.00377,0.6396175
"2",3.908195,1.52417,5.096565
"3",3.287155,4.71009,1.534295
"4",1.605685,0.617066,8.294915
"5",1.159335,4.98302,2.65244
"6",4.534885,2.312635,5.39904
"7",6.15066,1.5479,1.43019
"8",1.14153,8.555115,1.900245
"9",0.952738,9.04636,1.577235
"10",4.990395,3.1932,2.413145
"11",3.07565,0.7151005,6.753575
"12",2.37768,0.7200855,5.969925
"13",6.46786,1.38087,2.40981
"14",1.281075,0.6776015,11.30135
"15",1.44616,1.698165,5.912445
"16",2.325925,3.239865,2.4106
"17",3.484395,2.72589,3.75577
"18",9.15976,0.8910875,0.882291
"19",2.27363,6.01686,1.752465
"20",2.35249,1.51963,6.70402
"21",4.1697,2.00517,3.547845
"22",1.97639,6.041455,2.546885
"23",2.5572,5.14053,2.101405
"24",9.04047,0.841959,1.52033
"25",7.170655,0.9434525,0.6724195
"26",6.942925,1.006895,1.60203
"27",2.965065,5.361535,2.531115
"28",3.94766,1.447425,4.490805
"29",2.50673,2.52474,3.555925
"30",1.70437,3.726365,4.10167
"31",2.49838,2.294355,4.27013
"32",3.12696,4.011335,1.732085
"33",2.741205,0.532116,7.46562
"34",1.782595,1.660475,6.14702
