"","V1","V2","V3"
"1",2.573135,5.12059,0.959506
"2",2.00302,3.817235,4.660115
"3",1.272215,6.09075,1.25611
"4",1.32934,4.179265,2.962255
"5",2.119305,5.022075,3.04155
"6",3.10117,3.432725,1.76806
"7",0.836424,8.94473,0.4677875
"8",0.518956,7.236145,0.7129245
"9",3.770865,3.17539,1.88803
"10",0.852401,2.180185,8.17552
"11",1.93098,3.02438,5.297345
"12",5.508735,1.989435,1.445545
"13",3.030045,5.000955,1.31475
"14",5.011585,4.916705,1.972875
"15",6.02814,2.67285,1.7086
"16",5.71613,2.379625,1.299555
"17",1.077915,1.96977,8.257195
"18",5.402495,2.83317,0.6551255
"19",1.44256,8.58849,0.733447
"20",6.06781,3.596785,0.687601
"21",5.59758,3.396585,0.7332685
"22",1.112195,3.382705,5.17254
"23",1.938545,2.992375,2.785015
"24",1.51169,1.78283,7.505495
"25",1.59154,3.58397,4.255725
"26",7.65332,1.95929,0.8093875
"27",3.83951,4.641495,1.0696
"28",1.443285,6.786125,0.7706985
"29",4.650005,4.444785,1.11299
"30",3.610855,2.46568,3.23788
"31",0.670389,1.95281,7.92804
"32",0.5816065,7.11892,0.530559
"33",10.73945,1.48894,1.06141
"34",0.994709,4.084495,4.066065
