"","V1","V2","V3"
"1",1.20584,0.4611265,0.506017
"2",1.07977,0.5030955,0.520105
"3",1.249045,0.4219715,0.3470525
"4",1.182785,0.430446,0.4892895
"5",1.15556,0.4782395,0.2943645
"6",1.068245,0.341882,0.5082525
"7",1.13835,0.398572,0.407517
"8",1.174715,0.4008825,0.3190895
"9",1.140865,0.4819355,0.3472415
"10",1.155225,0.4391525,0.5645005
"11",1.235715,0.436345,0.563464
"12",1.042365,0.4556315,0.4280375
"13",0.928346,0.473803,0.3566525
"14",0.7999555,0.46808,0.397686
"15",0.9226705,0.5343815,0.4809
"16",0.932978,0.3870195,0.2707935
"17",1.05298,0.464602,0.3918485
"18",1.355915,0.4768395,0.439705
"19",0.8939685,0.4757505,0.400157
"20",1.25052,0.2671855,0.5309875
"21",0.920231,0.366365,0.4788255
"22",0.8851155,0.4823775,0.410681
"23",1.045905,0.551533,0.5371015
"24",1.01275,0.6364705,0.4503665
"25",0.832899,0.4729755,0.4780025
"26",1.15421,0.4568505,0.292558
"27",1.03564,0.441333,0.5433565
"28",0.913147,0.2719215,0.478312
"29",1.03591,0.3699725,0.469412
"30",0.8529685,0.4918665,0.327613
"31",0.3759235,0.813601,0.357605
"32",0.480844,0.833741,0.5433755
"33",0.486971,1.093375,0.269865
"34",0.352449,1.132395,0.443457
"35",0.424708,1.10421,0.564718
"36",0.4717805,1.35694,0.319579
"37",0.322067,1.00118,0.31275
"38",0.3218635,1.070065,0.5036475
"39",0.4333945,1.243215,0.3728175
"40",0.386668,0.9117545,0.4677635
"41",0.463364,1.244685,0.382369
"42",0.2520985,0.9304705,0.433484
"43",0.314331,0.8540815,0.465379
"44",0.4400995,1.16608,0.52416
"45",0.4329755,1.216895,0.4062005
"46",0.412146,1.123235,0.4321725
"47",0.429086,1.19021,0.2992375
"48",0.4517255,0.8418385,0.2988435
"49",0.5346675,0.8409725,0.309837
"50",0.436954,1.00403,0.305697
"51",0.528976,0.8550335,0.479058
"52",0.616897,1.0011,0.315571
"53",0.4580595,1.30104,0.2220255
"54",0.257041,1.1527,0.3212015
"55",0.450496,1.31232,0.3569685
"56",0.4681065,1.19382,0.5234575
"57",0.6620535,1.006765,0.2939235
"58",0.3316985,1.16937,0.469638
"59",0.333165,1.13779,0.3536375
"60",0.3350095,0.9558825,0.5098025
"61",0.331995,0.4147985,1.14326
"62",0.4815835,0.4697325,1.23763
"63",0.434463,0.3927375,0.966674
"64",0.275438,0.509599,0.9009195
"65",0.329919,0.436467,0.957661
"66",0.384425,0.5722265,0.8354875
"67",0.549103,0.5198545,1.055275
"68",0.3947,0.578891,1.06255
"69",0.5296075,0.335605,0.9145495
"70",0.3900955,0.436467,0.9199265
"71",0.2999585,0.4833115,1.083355
"72",0.388446,0.406228,1.0571
"73",0.3540925,0.393417,1.075085
"74",0.4158775,0.4182195,1.110645
"75",0.3095265,0.555638,0.839102
"76",0.3098155,0.5079375,1.123115
"77",0.3614875,0.7079345,1.091245
"78",0.39818,0.5202875,0.8436185
"79",0.380604,0.3138645,1.110485
"80",0.478175,0.4241165,1.01848
"81",0.4907535,0.509583,1.060395
"82",0.6563525,0.539638,0.927664
"83",0.37207,0.6350725,1.14717
"84",0.3973175,0.3918755,0.867542
"85",0.514617,0.5232825,0.769567
"86",0.463484,0.4933045,1.172905
"87",0.414779,0.286513,0.851031
"88",0.607435,0.388328,1.009325
"89",0.2416725,0.7144895,1.267285
"90",0.365331,0.476864,1.07478
