"","V1","V2","V3"
"1",0.524674,0.399009,1.29421
"2",0.5284395,0.431529,1.16071
"3",0.3741745,0.338061,1.345995
"4",0.4935745,0.3657825,1.254295
"5",0.2948635,0.399738,1.243965
"6",0.512808,0.2829615,1.12952
"7",0.4065655,0.340794,1.21578
"8",0.31705,0.328645,1.25213
"9",0.346828,0.4164755,1.222075
"10",0.5691155,0.378051,1.223125
"11",0.5391035,0.3637365,1.321655
"12",0.413845,0.396788,1.09593
"13",0.3415145,0.424312,1.018735
"14",0.3828255,0.4186715,0.8944115
"15",0.4557595,0.478767,1.01499
"16",0.2869335,0.315635,1.018805
"17",0.384263,0.4134195,1.13512
"18",0.4449795,0.3642175,1.48122
"19",0.3787325,0.4209945,0.9747975
"20",0.522775,0.2019955,1.33223
"21",0.469097,0.3275045,0.9738055
"22",0.4138715,0.43223,0.9750685
"23",0.527233,0.468499,1.14323
"24",0.4237075,0.563975,1.14828
"25",0.4827165,0.4393155,0.9121915
"26",0.283349,0.372455,1.285365
"27",0.5460405,0.384182,1.123765
"28",0.4939315,0.22729,0.970288
"29",0.495042,0.305339,1.11221
"30",0.303093,0.4394765,0.9355145
"31",0.30739,0.82489,0.4373545
"32",0.4951235,0.8577545,0.552472
"33",0.2161455,1.064595,0.606618
"34",0.390316,1.137645,0.434527
"35",0.4732565,1.141975,0.5075085
"36",0.2644825,1.34711,0.5742675
"37",0.264367,0.9914775,0.4127845
"38",0.436606,1.11843,0.394275
"39",0.303305,1.281575,0.5237405
"40",0.402622,0.907118,0.4698125
"41",0.3202245,1.20747,0.595926
"42",0.3872285,0.9582345,0.288305
"43",0.421646,0.8806405,0.3674345
"44",0.462128,1.180665,0.561353
"45",0.3498945,1.24193,0.5410605
"46",0.3586765,1.154465,0.50719
"47",0.245895,1.20006,0.5291375
"48",0.2634835,0.841279,0.5459995
"49",0.275485,0.82638,0.6162065
"50",0.2655955,0.980255,0.526078
"51",0.447748,0.8437995,0.596699
"52",0.278005,0.968021,0.737818
"53",0.1688935,1.26342,0.559071
"54",0.266119,1.160615,0.3438165
"55",0.294683,1.296195,0.5490265
"56",0.4412065,1.198305,0.578218
"57",0.255999,0.97515,0.769617
"58",0.4049245,1.19011,0.4280925
"59",0.286294,1.17765,0.405099
"60",0.4429235,0.998063,0.4079385
"61",1.08369,0.4445695,0.3358335
"62",1.18123,0.483622,0.505651
"63",0.9044095,0.39685,0.4679735
"64",0.8634065,0.537055,0.3105295
"65",0.9381795,0.4504705,0.363479
"66",0.790836,0.581912,0.415804
"67",1.01493,0.5288865,0.57376
"68",1.009875,0.5952365,0.405449
"69",0.904595,0.3334055,0.55212
"70",0.8972575,0.4597415,0.386295
"71",1.042675,0.483254,0.3219145
"72",0.9881965,0.4436745,0.4129705
"73",1.009155,0.4095785,0.3794465
"74",1.107635,0.4295155,0.4316325
"75",0.802546,0.5519055,0.356293
"76",1.090015,0.530585,0.3261285
"77",1.055415,0.728986,0.3857005
"78",0.7981045,0.515844,0.4110395
"79",1.095205,0.3349195,0.372155
"80",0.9931695,0.4418705,0.5130825
"81",1.041225,0.5207045,0.510602
"82",0.9112405,0.520712,0.690249
"83",1.094165,0.6620275,0.3941905
"84",0.8484575,0.3919585,0.4175655
"85",0.7490525,0.5193865,0.5467415
"86",1.11772,0.4950295,0.4978575
"87",0.818858,0.2934265,0.436358
"88",0.987007,0.386802,0.6380135
"89",1.175155,0.766749,0.2883575
"90",1.01814,0.482993,0.396734
